"gene_id","ensmbl_id","refseq_mrna"
"IFI35","ENSGALG00010022439",
"VAT1","ENSGALG00010022460",
"NT5C3B","ENSGALG00010022747","NM_001006334"
"NT5C3B","ENSGALG00010022747",
"EFHD1","ENSGALG00010022797","NM_001031773"
"KLHL10","ENSGALG00010022800","NM_001277298"
"CNP","ENSGALG00010023043",
"CNP","ENSGALG00010023043","NM_205050"
"PRLHR2","ENSGALG00010023081","NM_001024585"
"ZC3HAV1","ENSGALG00010023107",
"ZC3HAV1","ENSGALG00010023107","NM_001012938"
"DHX58","ENSGALG00010023172","NM_001318408"
"DHX58","ENSGALG00010023172",
"KAT2A","ENSGALG00010023179",
"PATL2","ENSGALG00010023271",
"B2M","ENSGALG00010023281","NM_001001750"
"C1S","ENSGALG00010023603","NM_001030777"
"SAMHD1","ENSGALG00010024424","NM_001030845"
"SAMHD1","ENSGALG00010024424",
"ZNFX1","ENSGALG00010024542",
"PRMT8","ENSGALG00010024622",
"ETV7","ENSGALG00010024643",
"LRP3","ENSGALG00010024977",
"P2RX7","ENSGALG00010025195",
"TRAFD1","ENSGALG00010025971",
"TRAFD1","ENSGALG00010025971","NM_001006191"
"MYD88","ENSGALG00010026550","NM_001030962"
"RASSF5","ENSGALG00010027117",
"RASSF5","ENSGALG00010027117","NM_001389341"
"NKTR","ENSGALG00010027374",
"ASS1","ENSGALG00010027383",
"ASS1","ENSGALG00010027383","NM_001013395"
"MOV10","ENSGALG00010027499","NM_001012843"
"RHOC","ENSGALG00010027510",
"RHOC","ENSGALG00010027510","NM_001029849"
"PPM1J","ENSGALG00010027516",
"TOR4A","ENSGALG00010027896",
"ADAR","ENSGALG00010027916",
"PTGES","ENSGALG00010028488","NM_001194983"
"CTSS","ENSGALG00010028761","NM_001031345"
"CTSS","ENSGALG00010028761",
"SLC2A6","ENSGALG00010028872",
"RNF213","ENSGALG00010029301",
"RNF213","ENSGALG00010029301","NM_001389479"
"ANKFN1","ENSGALG00010029575",
"TRIM25","ENSGALG00010029584",
"TRIM25","ENSGALG00010029584","NM_001318458"
"ASPA","ENSGALG00010029749",
"RFFL","ENSGALG00010029950","NM_001030711"
